time,time_raw,flux
54953.5391564,54953.5391564,-299.61111788971925
54953.559591,54953.559591,-360.1629651508892
54953.5800255,54953.5800255,-10.577213496109643
54953.6004602,54953.6004602,324.5973364815585
54953.6208948,54953.6208948,574.5426627212341
54953.6413293,54953.6413293,676.6754151092518
54953.6617639,54953.6617639,512.9657620665645
54953.6821986,54953.6821986,302.28843521591443
54953.7026331,54953.7026331,202.03676277481594
54953.7230677,54953.7230677,-46.543056405767295
54953.7435024,54953.7435024,-331.0930999651956
54953.7639369,54953.7639369,-395.1074570438968
54953.7843715,54953.7843715,-153.0465632450401
54953.8048061,54953.8048061,158.93900526315952
54953.825240700004,54953.825240700004,5.033472617999564
54953.8456753,54953.8456753,-311.80826158765325
54953.8661099,54953.8661099,-781.649445905907
54953.8865446,54953.8865446,-989.0814076792149
54953.9069791,54953.9069791,-936.4932027702715
54953.9274137,54953.9274137,-706.2558369731904
54953.9478484,54953.9478484,-434.80325849447553
54953.968283,54953.968283,-78.38456006941054
54953.9887176,54953.9887176,196.6945479682908
54954.0091521,54954.0091521,199.01940877216134
54954.0295868,54954.0295868,-27.71747434131501
54954.0500214,54954.0500214,-317.10075429807137
54954.070456,54954.070456,-674.6431584991213
54954.0908906,54954.0908906,-989.2743793909359
54954.1113252,54954.1113252,-995.317356987146
54954.1317598,54954.1317598,-542.2345778880893
54954.1521943,54954.1521943,-144.1692551540802
54954.172629,54954.172629,96.9855470877695
54954.1930636,54954.1930636,230.24430099534197
54954.2134981,54954.2134981,373.14286439222906
54954.2339328,54954.2339328,143.63993611739068
54954.2543674,54954.2543674,-36.825345255330774
54954.2748019,54954.2748019,5.6203702897944385
54954.2952365,54954.2952365,241.58192324548241
54954.3156712,54954.3156712,519.7743862441323
54954.3361058,54954.3361058,575.8657200955591
54954.3565403,54954.3565403,592.0146075961258
54954.376975,54954.376975,498.9174473681418
54954.3974096,54954.3974096,219.79998872496736
54954.4178441,54954.4178441,-65.63268682773183
